dataset,method,coverage_mean,coverage_std,width_norm_mean,width_norm_std,worst_slice_mean,runtime_mean
degradation,ACBUQ (ours),0.938,0.0376533899905144,0.3579596992859327,0.0644571688080537,0.7849999999999999,0.889678866500003
degradation,Bayesian-Ridge,0.928,0.0278088714861522,0.4336734280149245,0.0363448252677706,0.705,0.0018481519999681
degradation,CQR,0.908,0.0329309040939425,0.2921347841920407,0.0338453828703177,0.72,0.8882430692999833
degradation,Deep-Ensemble,0.645,0.0964076990931971,0.1557173842511121,0.0360749827110329,0.3399999999999999,2.670540589400025
degradation,Gaussian-Process,0.927,0.0298328677803525,0.3388164233937032,0.044854334019028,0.705,0.0675100959000019
degradation,MLP-Gaussian,0.903,0.0349761823721991,0.4094949402056522,0.0743494903914209,0.6699999999999999,0.33637736579999
degradation,Split-Conformal,0.907,0.0371333931776896,0.4276694913489094,0.1192575701640386,0.6799999999999999,0.3406753712000068
diabetes,ACBUQ (ours),0.944144144144144,0.0317239943453315,0.6725477696364314,0.0465852575765212,0.8323051948051947,0.8608291180999913
diabetes,Bayesian-Ridge,0.9009009009009008,0.0317807965293043,0.5641925116358506,0.0126171433770903,0.7704498400150575,0.0017680542999755
diabetes,CQR,0.9225225225225224,0.033762088462595,0.6149680899422314,0.0402235466119197,0.7946146245059289,0.8622913575999747
diabetes,Deep-Ensemble,0.2567567567567567,0.1293210390398466,0.1196191298440335,0.054884003045577,0.0843521848098507,2.470097687500004
diabetes,Gaussian-Process,0.901801801801802,0.0316243450255874,0.5627999415845063,0.0116948100048657,0.7749968905575313,0.0905684010999834
diabetes,MLP-Gaussian,0.899099099099099,0.0215715135087903,0.5774425307707889,0.0267615713231575,0.7675125313283208,0.4749298378000162
diabetes,Split-Conformal,0.9225225225225224,0.0176130670253635,0.6162953109706597,0.0396497791332799,0.8050557223097268,0.4785517567000056
friedman1,ACBUQ (ours),0.9138,0.0318531352023975,0.300608989242687,0.0301359171555363,0.8550000000000001,1.930595282199988
friedman1,Bayesian-Ridge,0.8976000000000001,0.0123216160556244,0.3043724937189141,0.0038439281250405,0.79,0.002100392300008
friedman1,CQR,0.8948,0.0301433611633179,0.285880347110339,0.0273078408203597,0.8310000000000001,1.9008292560999849
friedman1,Deep-Ensemble,0.5562,0.0359808591090071,0.0725125044641031,0.0034576118993973,0.429,6.450352084700024
friedman1,Gaussian-Process,0.8964000000000001,0.0230901614449868,0.1716836250350415,0.0082764103421932,0.8,0.8550102391999985
friedman1,MLP-Gaussian,0.902,0.01329995822884,0.1855408218807099,0.0092731431088997,0.799,1.3401688012999895
friedman1,Split-Conformal,0.9002000000000001,0.0188903267426597,0.1842955014034852,0.0096790553568477,0.8,1.30869876160001
