method,coverage,width,worst_slice,runtime_s,dataset,seed,width_norm,cred_lo,cred_hi,p_meets
Bayesian-Ridge,0.8828828828828829,182.1845371264798,0.7619047619047619,0.0018710600000986,diabetes,6,0.5675530751603732,,,
ACBUQ (ours),0.90990990990991,219.33846000895804,0.7391304347826086,0.9290513639999745,diabetes,7,0.6832973832054767,0.8638291646214491,0.9458711088349738,0.6576286636556855
CQR,0.8828828828828829,193.4994726140215,0.6521739130434783,0.8614430009999978,diabetes,7,0.6028020953707834,,,
Split-Conformal,0.8828828828828829,177.2805902338433,0.7142857142857143,0.5007386850001012,diabetes,7,0.552275982036895,,,
Deep-Ensemble,0.1441441441441441,28.450981404192955,0.0,3.427780799000061,diabetes,7,0.088632340823031,,,
MLP-Gaussian,0.8828828828828829,170.20677797865105,0.7142857142857143,0.5009340369999791,diabetes,7,0.5302391837341154,,,
Gaussian-Process,0.8828828828828829,178.48182962518473,0.7619047619047619,0.0856257509999522,diabetes,7,0.5560181608261207,,,
Bayesian-Ridge,0.8918918918918919,179.32723214067914,0.7391304347826086,0.0016755699999748,diabetes,7,0.5586518135223649,,,
ACBUQ (ours),0.945945945945946,207.893868663862,0.8181818181818182,0.8794710850000911,diabetes,8,0.6476444506662368,0.9012436428837256,0.9690138213542696,0.9544028262056716
CQR,0.9369369369369368,189.69232299699965,0.8181818181818182,0.9095587179999712,diabetes,8,0.5909418161900301,,,
Split-Conformal,0.927927927927928,181.6571236638669,0.8421052631578947,0.7417877900001031,diabetes,8,0.5659100425665636,,,
Deep-Ensemble,0.2522522522522522,38.95790264738704,0.0,3.52527355999996,diabetes,8,0.1213641827021403,,,
MLP-Gaussian,0.9369369369369368,191.96444675094048,0.8636363636363636,0.6791026079999938,diabetes,8,0.5980200833362632,,,
Gaussian-Process,0.918918918918919,180.39600840120207,0.7727272727272727,0.083603782999944,diabetes,8,0.561981334583184,,,
Bayesian-Ridge,0.9369369369369368,181.29137286214305,0.8181818181818182,0.0017547559999684,diabetes,8,0.5647706319692929,,,
ACBUQ (ours),0.963963963963964,222.1479665561909,0.8695652173913043,0.8472165670000322,diabetes,9,0.692049740050439,0.9208356661019156,0.9797118720036504,0.9919059153719
CQR,0.945945945945946,195.9665856558516,0.8695652173913043,0.8582216009999684,diabetes,9,0.610487805781469,,,
Split-Conformal,0.927927927927928,189.16819241390692,0.8181818181818182,0.8049020439999595,diabetes,9,0.5893090106352241,,,
Deep-Ensemble,0.1351351351351351,29.67277416945795,0.0,2.5955129689999694,diabetes,9,0.0924385488145107,,,
MLP-Gaussian,0.90990990990991,176.65504583068338,0.7894736842105263,0.8223909399999911,diabetes,9,0.5503272455784529,,,
Gaussian-Process,0.945945945945946,189.01655442884103,0.8636363636363636,0.0856112029999849,diabetes,9,0.5888366181583834,,,
Bayesian-Ridge,0.927927927927928,190.9051784805225,0.8095238095238095,0.0017544659999657,diabetes,9,0.5947201821823132,,,
